nome,sobrenome,idade,sexo,compra,ano,pagamento
Heloisa,Soares,50,F,1497,2005,dinheiro
Samuel,Ferreira,27,M,7694,2007,debito
Heloisa,Martins,41,F,8323,2018,credito
Gael,Alves,24,M,5278,2010,debito
Valentina,Pereira,35,F,7419,2017,dinheiro
Valentina,Gomes,60,F,7571,2007,credito
Theo,Martins,38,M,7670,2019,debito
Bernardo,Pereira,56,M,1785,2013,dinheiro
Alice,Ferreira,56,F,3917,2012,credito
Davi,Soares,59,M,2907,2014,credito
Alice,Oliveira,30,F,6964,2005,credito
Gabriel,Alves,57,M,6653,2012,credito
Valentina,Soares,59,F,7158,2019,debito
Arthur,Souza,47,M,2309,2015,credito
Samuel,Rodrigues,36,M,4618,2017,debito
Bernardo,Ferreira,29,M,8395,2018,credito
Arthur,Souza,55,M,2669,2014,credito
Gael,Gomes,60,M,5526,2007,debito
Theo,Alves,20,M,2273,2006,debito
Theo,Rodrigues,32,M,4837,2010,dinheiro
Bernardo,Martins,60,M,3168,2006,dinheiro
Davi,Rodrigues,60,M,7247,2016,dinheiro
Alice,Ferreira,20,F,4105,2007,dinheiro
Davi,Maia,36,M,8131,2014,credito
Arthur,Oliveira,41,M,5444,2009,credito
Heitor,Ribeiro,30,M,6948,2009,dinheiro
Laura,Ferreira,53,F,6693,2010,debito
Helena,Alves,60,F,3743,2005,debito
Arthur,Gomes,38,M,3570,2012,dinheiro
Helena,Silva,63,F,3724,2005,dinheiro
Samuel,Oliveira,31,M,4580,2011,dinheiro
Davi,Alves,44,M,8772,2019,credito
Laura,Silva,35,F,3329,2016,credito
Miguel,Alves,69,M,2042,2017,credito
Laura,Souza,29,F,8219,2020,debito
Helena,Alves,49,F,5490,2016,dinheiro
Arthur,Alves,55,M,9165,2006,credito
Theo,Santos,36,M,2610,2010,debito
Miguel,Ferreira,49,M,6125,2015,credito
Theo,Santos,42,M,8984,2019,debito
Valentina,Pereira,24,F,8464,2015,debito
Valentina,Souza,28,F,2289,2018,dinheiro
Theo,Alves,66,M,4499,2016,debito
Helena,Maia,28,F,5480,2016,credito
Arthur,Alves,43,M,6745,2016,dinheiro
Laura,Alves,69,F,8081,2012,debito
Helena,Ribeiro,31,F,4615,2020,dinheiro
Arthur,Santos,61,M,9904,2014,debito
Davi,Pereira,49,M,3333,2018,debito
Theo,Ribeiro,25,M,818,2010,debito
Bernardo,Ferreira,30,M,8271,2019,dinheiro
Alice,Alves,35,F,8523,2008,dinheiro
Gael,Alves,62,M,7795,2019,debito
Gael,Alves,69,M,3516,2019,credito
Sophia,Ferreira,52,F,798,2019,credito
Arthur,Pereira,50,M,8411,2019,debito
Samuel,Souza,26,M,8898,2012,credito
Helena,Ferreira,52,F,928,2018,dinheiro
Helena,Martins,67,F,6480,2016,dinheiro
Sophia,Ferreira,40,F,3194,2015,dinheiro
Sophia,Ferreira,55,F,6999,2017,debito
Sophia,Santos,48,F,4815,2017,credito
Gabriel,Santos,68,M,2836,2016,credito
Alice,Rodrigues,21,F,7453,2017,debito
Davi,Alves,64,M,7548,2017,dinheiro
Bernardo,Rodrigues,44,M,9978,2018,credito
Sophia,Ribeiro,28,F,8262,2013,credito
Davi,Soares,59,M,9437,2020,dinheiro
Gabriel,Rodrigues,64,M,7104,2019,debito
Gael,Pereira,34,M,3642,2009,credito
Heitor,Maia,66,M,1439,2007,dinheiro
Theo,Rodrigues,51,M,7735,2015,dinheiro
Samuel,Oliveira,55,M,4020,2005,credito
Valentina,Martins,44,F,3842,2015,dinheiro
Helena,Alves,46,F,1994,2011,credito
Gabriel,Souza,29,M,7699,2018,debito
Gabriel,Martins,54,M,1406,2016,credito
Miguel,Martins,42,M,830,2006,credito
Davi,Alves,60,M,6665,2005,dinheiro
Gael,Alves,30,M,6036,2011,debito
Sophia,Rodrigues,33,F,4902,2012,credito
Bernardo,Pereira,56,M,920,2015,dinheiro
Sophia,Pereira,39,F,2179,2018,dinheiro
Gabriel,Souza,50,M,6981,2017,debito
Heloisa,Soares,23,F,8479,2018,debito
Bernardo,Rodrigues,18,M,8036,2006,debito
Arthur,Gomes,29,M,5661,2019,credito
Theo,Alves,43,M,1862,2010,debito
Valentina,Silva,46,F,8242,2015,credito
Heloisa,Rodrigues,55,F,3923,2009,credito
Sophia,Maia,36,F,5347,2007,debito
Alice,Rodrigues,24,F,9235,2017,debito
Alice,Ferreira,34,F,4642,2007,credito
Davi,Alves,31,M,5941,2012,dinheiro
Sophia,Souza,41,F,4220,2019,credito
Heitor,Oliveira,29,M,6929,2005,dinheiro
Laura,Souza,63,F,4617,2019,debito
Gabriel,Oliveira,62,M,3478,2016,dinheiro
Samuel,Pereira,70,M,7918,2020,debito
Theo,Santos,23,M,7896,2007,debito
Theo,Rodrigues,63,M,8016,2016,dinheiro
Miguel,Silva,20,M,2975,2012,debito
Sophia,Maia,36,F,7575,2005,dinheiro
Alice,Martins,54,F,2829,2016,dinheiro
Theo,Alves,63,M,4290,2020,debito
Heitor,Soares,45,M,6653,2019,debito
Heitor,Oliveira,53,M,2922,2006,credito
Alice,Alves,54,F,5129,2007,credito
Theo,Maia,20,M,7154,2015,dinheiro
Sophia,Martins,49,F,4740,2006,credito
Sophia,Martins,31,F,8625,2014,dinheiro
Alice,Gomes,22,F,9426,2007,debito
Valentina,Pereira,60,F,9413,2006,debito
Alice,Rodrigues,32,F,6599,2020,debito
Theo,Martins,59,M,3278,2005,debito
Gael,Santos,25,M,1256,2005,credito
Heloisa,Alves,30,F,4093,2016,dinheiro
Miguel,Souza,37,M,8493,2014,debito
Laura,Silva,59,F,8543,2016,credito
Arthur,Soares,62,M,9158,2008,dinheiro
Laura,Ferreira,48,F,2655,2011,dinheiro
Theo,Alves,59,M,5699,2007,debito
Arthur,Souza,32,M,953,2011,debito
Gael,Martins,27,M,9014,2014,debito
Samuel,Pereira,54,M,3643,2012,debito
Gael,Oliveira,33,M,5373,2012,debito
Laura,Santos,38,F,3975,2019,credito
Gael,Ferreira,53,M,8755,2006,credito
Heitor,Ferreira,32,M,2384,2014,credito
Samuel,Maia,23,M,4388,2020,dinheiro
Davi,Oliveira,52,M,9402,2005,debito
Miguel,Rodrigues,34,M,3348,2010,debito
Heloisa,Santos,41,F,7956,2018,debito
Maria,Soares,38,F,9374,2020,debito
Heitor,Souza,46,M,3205,2005,credito
Samuel,Oliveira,36,M,8440,2011,dinheiro
Davi,Ribeiro,30,M,8468,2005,dinheiro
Helena,Gomes,49,F,3229,2008,debito
Gael,Pereira,19,M,6854,2007,debito
Gabriel,Ferreira,25,M,515,2017,dinheiro
Laura,Pereira,53,F,2338,2011,credito
Bernardo,Gomes,41,M,9798,2014,credito
Laura,Alves,25,F,4122,2014,dinheiro
Bernardo,Soares,68,M,3420,2009,dinheiro
Valentina,Soares,64,F,1351,2010,credito
Miguel,Rodrigues,21,M,7911,2015,debito
Theo,Oliveira,35,M,8744,2019,debito
Sophia,Alves,56,F,9900,2006,debito
Laura,Silva,21,F,3814,2020,credito
Gael,Soares,69,M,6010,2007,debito
Heloisa,Soares,38,F,5117,2013,credito
Gael,Pereira,48,M,2587,2006,debito
Theo,Gomes,28,M,1744,2019,debito
Miguel,Martins,60,M,2143,2007,debito
Sophia,Silva,18,F,8503,2010,debito
Gael,Maia,31,M,5366,2007,credito
Miguel,Ferreira,47,M,3153,2015,credito
Miguel,Rodrigues,33,M,4436,2015,debito
Maria,Martins,46,F,2674,2014,dinheiro
Laura,Santos,49,F,6959,2005,credito
Helena,Ferreira,62,F,6233,2006,dinheiro
Maria,Rodrigues,35,F,6390,2005,dinheiro
Gael,Ferreira,44,M,2481,2015,dinheiro
Alice,Gomes,64,F,9654,2017,credito
Samuel,Alves,22,M,6476,2019,credito
Valentina,Oliveira,55,F,4478,2006,dinheiro
Alice,Martins,34,F,5036,2016,dinheiro
Maria,Pereira,49,F,7390,2007,dinheiro
Samuel,Santos,48,M,2536,2015,dinheiro
Bernardo,Oliveira,53,M,9763,2006,debito
Heitor,Oliveira,54,M,8259,2006,debito
Maria,Santos,56,F,9622,2012,credito
Heloisa,Gomes,67,F,5420,2013,debito
Bernardo,Souza,29,M,6231,2010,debito
Heloisa,Silva,58,F,4940,2017,credito
Gabriel,Oliveira,28,M,3268,2008,credito
Miguel,Ribeiro,53,M,2672,2007,credito
Davi,Souza,43,M,1227,2013,debito
Valentina,Martins,21,F,886,2017,debito
Laura,Alves,28,F,7426,2017,debito
Sophia,Oliveira,44,F,3125,2007,credito
Valentina,Santos,70,F,1006,2019,credito
Heitor,Ribeiro,37,M,3247,2019,dinheiro
Valentina,Santos,30,F,5495,2020,debito
Valentina,Santos,52,F,6878,2018,credito
Sophia,Oliveira,63,F,6272,2013,dinheiro
Alice,Santos,62,F,9846,2005,debito
Helena,Silva,30,F,4410,2020,credito
Theo,Santos,25,M,9835,2006,debito
Heitor,Alves,69,M,6538,2005,debito
Maria,Souza,23,F,5692,2018,debito
Heitor,Soares,39,M,6026,2008,credito
Sophia,Ferreira,45,F,3370,2005,debito
Valentina,Maia,54,F,2555,2005,debito
Gabriel,Alves,44,M,3404,2017,debito
Laura,Souza,32,F,6980,2015,dinheiro
Theo,Rodrigues,28,M,4081,2017,debito
Gabriel,Gomes,25,M,3899,2018,dinheiro
Maria,Maia,49,F,8337,2005,debito
Heloisa,Silva,24,F,6707,2014,dinheiro
Davi,Santos,39,M,8374,2012,credito
Arthur,Santos,57,M,5843,2011,dinheiro
Arthur,Alves,58,M,7936,2010,debito
Heloisa,Oliveira,57,F,7671,2005,credito
Miguel,Gomes,44,M,7612,2012,debito
Davi,Pereira,43,M,3905,2018,dinheiro
Alice,Gomes,18,F,5546,2011,debito
Helena,Soares,55,F,5582,2017,dinheiro
Alice,Gomes,55,F,1796,2017,credito
Gabriel,Maia,70,M,3610,2014,credito
Gabriel,Ferreira,40,M,2768,2017,credito
Alice,Ferreira,47,F,3916,2019,dinheiro
Sophia,Silva,54,F,6872,2012,dinheiro
Maria,Gomes,30,F,3139,2007,credito
Miguel,Alves,32,M,9193,2017,debito
Laura,Maia,37,F,8081,2006,dinheiro
Alice,Gomes,28,F,1722,2013,debito
Gael,Maia,45,M,3369,2016,credito
Sophia,Oliveira,45,F,6353,2008,dinheiro
Laura,Alves,35,F,8092,2016,dinheiro
Valentina,Silva,35,F,2682,2016,dinheiro
Sophia,Souza,70,F,2176,2006,credito
Davi,Martins,69,M,4953,2005,credito
Bernardo,Silva,66,M,4997,2010,dinheiro
Sophia,Soares,35,F,8887,2019,debito
Heloisa,Ferreira,64,F,8206,2017,credito
Gabriel,Silva,25,M,9882,2006,debito
Arthur,Ribeiro,48,M,6481,2012,dinheiro
Laura,Ribeiro,36,F,9766,2016,debito
Maria,Martins,68,F,3916,2011,credito
Heitor,Gomes,28,M,1031,2014,debito
Laura,Souza,36,F,9470,2013,dinheiro
Heloisa,Soares,68,F,6922,2013,credito
Gabriel,Rodrigues,33,M,1073,2011,debito
Helena,Pereira,51,F,1874,2019,dinheiro
Gabriel,Maia,22,M,5605,2018,dinheiro
Gael,Oliveira,57,M,8909,2015,debito
Heitor,Ribeiro,32,M,4753,2009,credito
Gael,Ferreira,66,M,9000,2015,credito
Gael,Souza,29,M,2563,2010,credito
Alice,Rodrigues,23,F,2328,2015,dinheiro
Gabriel,Martins,55,M,3545,2014,dinheiro
Davi,Oliveira,21,M,3185,2019,credito
Gabriel,Souza,36,M,6524,2010,dinheiro
Alice,Martins,51,F,8857,2015,credito
Samuel,Oliveira,34,M,1249,2013,credito
Heitor,Pereira,39,M,7593,2013,debito
Samuel,Soares,22,M,800,2009,debito
Theo,Gomes,68,M,4134,2018,debito
Miguel,Oliveira,40,M,4183,2017,debito
Alice,Pereira,65,F,5960,2008,dinheiro
Theo,Alves,21,M,5950,2006,dinheiro
Valentina,Pereira,37,F,8719,2013,debito
Theo,Maia,37,M,8707,2020,credito
Miguel,Santos,42,M,7712,2006,dinheiro
Heloisa,Alves,54,F,8348,2017,dinheiro
Heloisa,Ferreira,43,F,3259,2018,credito
Gabriel,Gomes,66,M,1544,2013,credito
Gabriel,Pereira,19,M,4341,2019,dinheiro
Maria,Santos,62,F,2028,2011,debito
Heitor,Souza,46,M,3698,2007,dinheiro
Gael,Ferreira,33,M,7196,2014,credito
Maria,Ferreira,47,F,9225,2010,credito
Heloisa,Santos,65,F,1201,2006,debito
Alice,Oliveira,55,F,6681,2006,debito
Miguel,Soares,31,M,6641,2007,debito
Heitor,Souza,65,M,1088,2005,credito
Valentina,Maia,47,F,796,2010,debito
Bernardo,Santos,61,M,4187,2019,credito
Miguel,Gomes,21,M,5209,2017,dinheiro
Davi,Martins,32,M,4573,2014,credito
Bernardo,Rodrigues,47,M,2700,2019,debito
Maria,Ferreira,42,F,2410,2012,credito
Davi,Soares,47,M,6676,2011,debito
Helena,Alves,67,F,2806,2015,debito
Alice,Oliveira,22,F,866,2017,debito
Valentina,Alves,54,F,1674,2007,credito
Bernardo,Ferreira,52,M,3849,2015,dinheiro
Gabriel,Soares,60,M,580,2008,credito
Gael,Ribeiro,25,M,3850,2005,debito
Maria,Souza,60,F,9584,2017,dinheiro
Valentina,Pereira,51,F,1018,2017,debito
Helena,Ribeiro,45,F,727,2016,credito
Maria,Pereira,58,F,5082,2017,dinheiro
Gabriel,Rodrigues,23,M,2177,2011,debito
Maria,Martins,25,F,7921,2020,debito
Theo,Ferreira,46,M,9510,2006,credito
Davi,Soares,27,M,1768,2014,debito
Arthur,Santos,39,M,9966,2020,debito
Theo,Gomes,43,M,2794,2018,dinheiro
Maria,Maia,63,F,7146,2005,dinheiro
Sophia,Ribeiro,59,F,2707,2008,credito
Arthur,Silva,69,M,3414,2016,credito
Heitor,Ferreira,26,M,6996,2019,credito
Gabriel,Martins,51,M,4911,2011,credito
Bernardo,Souza,49,M,4768,2010,credito
Gabriel,Rodrigues,54,M,8934,2011,debito
Gael,Oliveira,43,M,653,2006,dinheiro
Gabriel,Soares,46,M,841,2018,credito
Miguel,Alves,33,M,7901,2016,debito
Miguel,Rodrigues,29,M,6696,2007,debito
Alice,Souza,53,F,2497,2013,debito
Heitor,Souza,39,M,8126,2019,debito
Miguel,Alves,31,M,2574,2010,dinheiro
Helena,Silva,50,F,655,2020,dinheiro
Bernardo,Gomes,55,M,2897,2005,dinheiro
Laura,Gomes,62,F,3101,2008,debito
Sophia,Oliveira,43,F,6742,2011,debito
Heloisa,Silva,61,F,3178,2009,debito
Heloisa,Ferreira,45,F,1639,2014,dinheiro
Heloisa,Maia,31,F,4033,2017,dinheiro
Laura,Martins,49,F,4624,2014,credito
Heloisa,Soares,61,F,6506,2013,dinheiro
Gael,Souza,40,M,4922,2018,credito
Helena,Martins,27,F,9169,2015,debito
Alice,Martins,61,F,6486,2008,dinheiro
Helena,Santos,67,F,9325,2011,debito
Alice,Souza,23,F,8307,2009,credito
Gabriel,Ribeiro,67,M,2382,2009,dinheiro
Samuel,Alves,70,M,4757,2014,credito
Gael,Oliveira,20,M,4531,2005,dinheiro
Heloisa,Santos,65,F,5730,2014,credito
Maria,Rodrigues,59,F,9843,2010,credito
Alice,Martins,70,F,676,2010,dinheiro
Samuel,Santos,53,M,9257,2012,debito
Gael,Soares,46,M,5592,2016,dinheiro
Bernardo,Alves,43,M,7415,2012,credito
Bernardo,Soares,38,M,5153,2006,debito
Heitor,Maia,64,M,9227,2016,dinheiro
Valentina,Oliveira,52,F,6023,2005,dinheiro
Samuel,Pereira,62,M,3884,2013,dinheiro
Samuel,Rodrigues,34,M,2499,2020,dinheiro
Sophia,Ferreira,62,F,2664,2017,dinheiro
Gabriel,Soares,59,M,3532,2015,dinheiro
Bernardo,Oliveira,32,M,3608,2012,debito
Miguel,Alves,19,M,2704,2020,credito
Theo,Rodrigues,26,M,854,2019,credito
Bernardo,Santos,63,M,5603,2012,dinheiro
Davi,Gomes,50,M,6554,2012,dinheiro
Gael,Maia,25,M,4827,2007,dinheiro
Miguel,Silva,68,M,5834,2015,credito
Gabriel,Silva,23,M,9812,2014,debito
Maria,Soares,51,F,7188,2016,debito
Helena,Silva,68,F,8698,2016,dinheiro
Alice,Ribeiro,44,F,1769,2006,credito
Sophia,Gomes,34,F,4447,2013,credito
Gabriel,Santos,62,M,3751,2013,credito
Davi,Alves,20,M,2669,2018,dinheiro
Samuel,Rodrigues,67,M,2637,2014,credito
Alice,Ribeiro,44,F,2830,2005,credito
Laura,Alves,58,F,6944,2011,debito
Laura,Martins,55,F,2659,2010,dinheiro
Theo,Soares,25,M,7062,2008,dinheiro
Theo,Gomes,58,M,1816,2009,credito
Arthur,Pereira,62,M,4437,2010,debito
Gael,Pereira,48,M,8260,2015,dinheiro
Arthur,Martins,41,M,8995,2011,debito
Gabriel,Maia,24,M,7023,2019,dinheiro
Maria,Alves,50,F,4811,2015,credito
Bernardo,Gomes,69,M,5912,2012,debito
Bernardo,Oliveira,48,M,8501,2017,debito
Laura,Soares,49,F,1937,2019,dinheiro
Bernardo,Santos,56,M,4685,2018,debito
Valentina,Ribeiro,50,F,808,2012,credito
Davi,Pereira,38,M,3450,2017,debito
Heitor,Martins,55,M,9673,2016,dinheiro
Gael,Rodrigues,45,M,2334,2015,dinheiro
Gabriel,Maia,55,M,7139,2018,dinheiro
Sophia,Alves,34,F,8716,2019,credito
Miguel,Souza,52,M,6073,2009,debito
Heitor,Silva,41,M,1741,2012,credito
Davi,Ribeiro,19,M,4846,2019,debito
Laura,Pereira,30,F,5368,2015,credito
Arthur,Ribeiro,20,M,1524,2014,dinheiro
Heloisa,Alves,34,F,4638,2019,debito
Valentina,Soares,45,F,6340,2016,credito
Bernardo,Gomes,23,M,3069,2016,dinheiro
Miguel,Souza,45,M,5742,2016,debito
Helena,Oliveira,41,F,7134,2014,credito
Arthur,Martins,57,M,1764,2005,dinheiro
Valentina,Alves,40,F,6550,2007,dinheiro
Davi,Alves,59,M,5388,2019,debito
Arthur,Alves,39,M,4184,2020,dinheiro
Bernardo,Souza,46,M,7525,2008,credito
Arthur,Silva,41,M,8848,2005,dinheiro
Samuel,Souza,27,M,639,2020,dinheiro
Valentina,Pereira,32,F,7275,2009,dinheiro
Heloisa,Santos,52,F,2285,2010,debito
Gael,Martins,27,M,5506,2006,dinheiro
Davi,Rodrigues,20,M,2234,2006,credito
Gabriel,Oliveira,34,M,5640,2014,credito
Helena,Gomes,70,F,7866,2007,credito
Heloisa,Pereira,39,F,2310,2020,credito
Heloisa,Maia,40,F,3434,2019,credito
Theo,Ferreira,39,M,3896,2020,debito
Theo,Alves,57,M,6998,2008,dinheiro
Samuel,Gomes,64,M,4672,2016,dinheiro
Davi,Soares,38,M,9566,2009,dinheiro
Bernardo,Oliveira,22,M,2072,2018,debito
Arthur,Santos,49,M,8091,2018,dinheiro
Sophia,Soares,37,F,4752,2008,credito
Laura,Martins,38,F,2015,2010,dinheiro
Bernardo,Soares,29,M,9146,2014,dinheiro
Gabriel,Rodrigues,60,M,1400,2013,debito
Bernardo,Ferreira,33,M,1225,2010,credito
Laura,Pereira,50,F,7899,2016,debito
Valentina,Souza,22,F,4530,2013,dinheiro
Maria,Soares,52,F,3520,2020,credito
Heitor,Martins,31,M,5064,2008,credito
Helena,Maia,23,F,3452,2019,debito
Sophia,Oliveira,55,F,3193,2014,credito
Maria,Pereira,38,F,8967,2013,debito
Helena,Gomes,65,F,4843,2018,debito
Sophia,Santos,48,F,3257,2010,dinheiro
Theo,Rodrigues,50,M,8516,2005,credito
Laura,Ribeiro,32,F,9879,2013,debito
Heloisa,Pereira,47,F,7705,2007,credito
Laura,Pereira,52,F,5675,2005,credito
Valentina,Soares,62,F,8805,2017,debito
Maria,Gomes,46,F,2104,2006,credito
Samuel,Ferreira,57,M,4317,2008,dinheiro
Davi,Gomes,49,M,3530,2018,credito
Valentina,Soares,28,F,1137,2009,credito
Theo,Souza,44,M,6934,2005,dinheiro
Gael,Ribeiro,28,M,3902,2018,credito
Laura,Maia,47,F,5962,2013,credito
Alice,Pereira,28,F,970,2007,debito
Laura,Alves,50,F,1600,2005,credito
Heitor,Martins,65,M,2956,2008,dinheiro
Theo,Ribeiro,62,M,6001,2013,credito
Helena,Alves,18,F,9560,2009,credito
Heitor,Maia,61,M,6580,2018,credito
Samuel,Alves,20,M,815,2011,dinheiro
Gael,Soares,33,M,8466,2014,debito
Arthur,Alves,29,M,6134,2013,dinheiro
Helena,Ribeiro,70,F,886,2018,credito
Arthur,Maia,49,M,5503,2005,credito
Arthur,Souza,37,M,6749,2017,credito
Gabriel,Gomes,21,M,5029,2006,dinheiro
Heitor,Silva,28,M,2323,2019,dinheiro
Davi,Ferreira,42,M,4613,2020,credito
Valentina,Silva,53,F,8701,2014,dinheiro
Sophia,Alves,20,F,4633,2005,dinheiro
Davi,Ribeiro,18,M,5783,2018,credito
Helena,Silva,19,F,2453,2007,dinheiro
Helena,Rodrigues,55,F,1725,2014,debito
Miguel,Maia,61,M,6521,2010,dinheiro
Valentina,Souza,27,F,8257,2013,dinheiro
Gabriel,Ferreira,28,M,2866,2007,credito
Heitor,Ferreira,48,M,3370,2008,credito
Laura,Alves,19,F,7619,2016,debito
Maria,Pereira,19,F,5850,2017,debito
Samuel,Maia,47,M,5563,2013,credito
Arthur,Alves,65,M,6547,2012,dinheiro
Arthur,Soares,19,M,7519,2009,dinheiro
Sophia,Gomes,56,F,6538,2013,debito
Arthur,Oliveira,61,M,9168,2017,credito
Sophia,Ferreira,35,F,6115,2010,dinheiro
Maria,Alves,56,F,1317,2015,dinheiro
Heitor,Alves,38,M,2439,2019,credito
Valentina,Silva,35,F,8360,2011,credito
Valentina,Souza,29,F,4721,2019,credito
Miguel,Pereira,48,M,9470,2014,credito
Laura,Oliveira,51,F,3558,2018,credito
Alice,Oliveira,70,F,8338,2007,dinheiro
Gael,Alves,31,M,6180,2008,debito
Maria,Soares,43,F,9401,2017,dinheiro
Gael,Souza,70,M,8579,2006,debito
Gabriel,Ferreira,67,M,9723,2016,credito
Miguel,Soares,29,M,9061,2019,credito
Arthur,Alves,44,M,2753,2008,dinheiro
Maria,Silva,57,F,8370,2009,credito
Alice,Gomes,40,F,1257,2006,debito
Miguel,Silva,43,M,1813,2005,dinheiro
Davi,Silva,52,M,6653,2018,dinheiro
Arthur,Soares,49,M,3353,2020,dinheiro
Valentina,Ribeiro,46,F,5301,2016,dinheiro
Valentina,Santos,31,F,9906,2006,credito
Theo,Alves,28,M,9512,2013,dinheiro
Davi,Martins,61,M,3950,2007,dinheiro
Sophia,Ribeiro,62,F,8038,2013,debito
Gabriel,Santos,64,M,3371,2016,dinheiro
Helena,Alves,19,F,1033,2012,debito
Miguel,Rodrigues,62,M,816,2015,dinheiro
Samuel,Alves,51,M,6781,2018,debito
Heitor,Soares,19,M,7119,2015,dinheiro
Alice,Ferreira,58,F,8874,2015,debito
Miguel,Silva,37,M,8513,2006,credito
Bernardo,Pereira,52,M,3317,2012,dinheiro
Theo,Maia,54,M,5258,2015,dinheiro
Laura,Oliveira,55,F,3309,2017,dinheiro
Alice,Silva,40,F,1173,2009,dinheiro
Arthur,Pereira,56,M,8438,2015,dinheiro
Theo,Martins,56,M,6962,2013,debito
Theo,Santos,45,M,7048,2012,debito
Theo,Silva,69,M,1474,2015,credito
Arthur,Souza,53,M,5059,2017,dinheiro
Heloisa,Maia,54,F,9056,2014,credito
Bernardo,Ferreira,45,M,1280,2007,debito
Laura,Alves,64,F,8064,2016,debito
Gabriel,Maia,70,M,3292,2015,dinheiro
Heloisa,Oliveira,54,F,8970,2012,credito
Heloisa,Santos,43,F,8914,2018,dinheiro
Arthur,Souza,65,M,3324,2015,debito
Gabriel,Ferreira,52,M,2276,2006,credito
Alice,Souza,60,F,7218,2007,dinheiro
Heitor,Alves,25,M,9930,2014,dinheiro
Heitor,Martins,39,M,9669,2019,credito
Gael,Alves,40,M,9985,2009,credito
Maria,Pereira,65,F,6301,2006,dinheiro
Arthur,Souza,44,M,1591,2011,dinheiro
Gabriel,Ribeiro,65,M,8378,2016,dinheiro
Heloisa,Rodrigues,25,F,5387,2010,dinheiro
Valentina,Ferreira,27,F,7846,2017,dinheiro
Miguel,Martins,63,M,6005,2005,dinheiro
Miguel,Alves,48,M,1291,2007,dinheiro
Samuel,Gomes,50,M,4802,2010,debito
Arthur,Rodrigues,47,M,3995,2006,debito
Heitor,Gomes,19,M,2059,2014,credito
Heloisa,Ribeiro,36,F,3787,2014,dinheiro
Heitor,Pereira,47,M,9558,2016,credito
Samuel,Souza,40,M,8148,2015,dinheiro
Sophia,Oliveira,50,F,5012,2010,debito
Bernardo,Souza,36,M,4631,2018,dinheiro
Davi,Alves,63,M,916,2011,credito
Helena,Silva,51,F,3287,2010,dinheiro
Samuel,Martins,42,M,3101,2018,debito
Laura,Pereira,37,F,2595,2010,debito
Theo,Rodrigues,55,M,8511,2007,debito
Helena,Soares,54,F,6977,2011,dinheiro
Davi,Souza,29,M,4769,2009,dinheiro
Laura,Gomes,26,F,4384,2011,dinheiro
Miguel,Santos,35,M,7736,2016,debito
Heloisa,Pereira,35,F,5861,2006,credito
Arthur,Alves,26,M,6741,2016,debito
Alice,Soares,57,F,5451,2017,debito
Sophia,Rodrigues,27,F,7598,2009,debito
Laura,Alves,23,F,3282,2016,dinheiro
Laura,Maia,67,F,1665,2008,credito
Arthur,Alves,22,M,7171,2005,dinheiro
Gael,Alves,54,M,7305,2011,dinheiro
Alice,Maia,63,F,7455,2009,dinheiro
Alice,Rodrigues,40,F,3818,2020,credito
Bernardo,Oliveira,50,M,1124,2014,debito
Gael,Santos,53,M,2475,2011,dinheiro
